id	published	range	title
2601.11868	2026-01-17	OUT	Terminal-Bench: Benchmarking Agents on Hard, Realistic Tasks in Command Line Interfaces
2603.22862	2026-03-24	OUT	The Evolution of Tool Use in LLM Agents: From Single-Tool Call to Multi-Tool Orchestration
2603.24709	2026-03-25	OUT	Training LLMs for Multi-Step Tool Orchestration with Constrained Data Synthesis and Graduated Rewards
2603.29231	2026-03-31	OUT	Beyond pass@1: A Reliability Science Framework for Long-Horizon LLM Agents
2604.03515	2026-04-03	OUT	Inside the Scaffold: A Source-Code Taxonomy of Coding Agent Architectures
2604.11548	2026-04-13	OUT	SemaClaw: A Step Towards General-Purpose Personal AI Agents through Harness Engineering
2604.21003	2026-04-22	OUT	The Last Harness You'll Ever Build
2605.01920	2026-05-03	IN	A Language for Describing Agentic LLM Contexts
2605.05400	2026-05-06	IN	Mise en Place for Agentic Coding: Deliberate Preparation as Context Engineering Methodology
2605.08435	2026-05-08	IN	A Dataset of Agentic AI Coding Tool Configurations
2605.09998	2026-05-11	IN	Continual Harness: Online Adaptation for Self-Improving Foundation Agents
2605.10052	2026-05-11	IN	Swarm Skills: A Portable, Self-Evolving Multi-Agent System Specification for Coordination Engineering
2605.14483	2026-05-14	IN	LEMON: Learning Executable Multi-Agent Orchestration via Counterfactual Reinforcement Learning
2605.23296	2026-05-22	IN	Parallel Context Compaction for Long-Horizon LLM Agent Serving
2605.24220	2026-05-22	IN	Polar: Agentic RL on Any Harness at Scale
2605.27276	2026-05-26	IN	SIA: Self Improving AI with Harness & Weight Updates
2605.30738	2026-05-29	IN	MAVEN: Improving Generalization in Agentic Tool Calling
2605.30785	2026-05-29	IN	Learning Agent-Compatible Context Management for Long-Horizon Tasks
2606.05548	2026-06-04	IN	ADK Arena: Evaluating Agent Development Kits via LLM-as-a-Developer
2606.05922	2026-06-04	IN	Evolving Agents in the Dark: Retrospective Harness Optimization via Self-Preference
2606.06324	2026-06-04	IN	From Failed Trajectories to Reliable LLM Agents: Diagnosing and Repairing Harness Flaws
2606.06448	2026-06-04	IN	Agent Memory: Characterization and System Implications of Stateful Long-Horizon Workloads
2606.07412	2026-06-05	IN	Socratic-SWE: Self-Evolving Coding Agents via Trace-Derived Agent Skills
2606.07462	2026-06-05	IN	Act As a Real Researcher: A Suite of Benchmarks Evaluating Frontier LLMs and Agentic Harnesses in Research Lifecycle
